index,message,true_label,stages_used,confidences,final_prediction,final_stage,cost,latency_ms
67,todays voda numbers ending with 7634 are selected to receive a 350 reward if you have a match please call 08712300220 quoting claim code 7684 standard rates apply,1,[1],{'stage1': 0.7980144870422426},1,1,0.0,10.032415390014648
68,sorry vikky i m watching olave mandara movie kano in trishul theatre wit my frnds,0,[1],{'stage1': 0.02110605006709656},0,1,0.0,5.527496337890625
69,going to take your babe out,0,"[1, 2]","{'stage1': 0.09802630980864913, 'stage2': 0.15650749925638874, 'stage2_fallback': True}",0,2,0.0,10.213851928710938
70,not tonight mate catching up on some sleep this is my new number by the way,0,"[1, 2]","{'stage1': 0.04915339967837908, 'stage2': 0.1854678107062124, 'stage2_fallback': True}",0,2,0.0,6.184101104736328
71,sorry i can t help you on this,0,"[1, 2]","{'stage1': 0.05923679053109329, 'stage2': 0.2571019350855009, 'stage2_fallback': True}",0,2,0.0,16.057968139648438
72,good afternoon loverboy how goes you day any luck come your way i think of you sweetie and send my love across the sea to make you smile and happy,0,"[1, 2]","{'stage1': 0.036179833656933016, 'stage2': 0.1830694609464152, 'stage2_fallback': True}",0,2,0.0,11.719465255737305
73,i m ok will do my part tomorrow,0,[1],{'stage1': 0.020866559103286324},0,1,0.0,7.752656936645508
74,lol great now im getting hungry,0,"[1, 2]","{'stage1': 0.05217597395280939, 'stage2': 0.1695370341568742, 'stage2_fallback': True}",0,2,0.0,9.007930755615234
75,its a part of checking iq,0,"[1, 2]","{'stage1': 0.05254647150732745, 'stage2': 0.19742583898211652, 'stage2_fallback': True}",0,2,0.0,12.412548065185547
76,haha okay today weekend leh,0,"[1, 2]","{'stage1': 0.04619720910194083, 'stage2': 0.11118210572694828}",0,2,0.0,8.174419403076172
77,jay s getting really impatient and belligerent,0,"[1, 2]","{'stage1': 0.03686479097985861, 'stage2': 0.22544793811493702, 'stage2_fallback': True}",0,2,0.0,7.392644882202148
78,hi 07734396839 ibh customer loyalty offer the new nokia6600 mobile from only 10 at txtauction txt word start to no 81151 get yours now 4t,1,[1],{'stage1': 0.8005118171018903},1,1,0.0,5.888938903808594
79,height of confidence all the aeronautics professors wer calld amp they wer askd 2 sit in an aeroplane aftr they sat they wer told dat the plane ws made by their students dey all hurried out of d plane bt only 1 didnt move he said if it is made by my students,0,"[1, 2]","{'stage1': 0.03882417439375509, 'stage2': 0.13966548857441943}",0,2,0.0,15.500545501708984
80,oh howda gud gud mathe en samachara chikku,0,"[1, 2]","{'stage1': 0.031148063408152276, 'stage2': 0.1261878427905182}",0,2,0.0,9.98544692993164
81,thx all will be well in a few months,0,"[1, 2]","{'stage1': 0.05625055631763004, 'stage2': 0.1868937672177336, 'stage2_fallback': True}",0,2,0.0,9.275197982788086
82,never blame a day in ur life good days give u happiness bad days give u experience both are essential in life all are gods blessings good morning,0,"[1, 2]","{'stage1': 0.037538069431161884, 'stage2': 0.1263789647220794}",0,2,0.0,10.577678680419922
83,love has one law make happy the person you love in the same way friendship has one law never make ur friend feel alone until you are alive gud night,0,"[1, 2]","{'stage1': 0.03888698595344584, 'stage2': 0.14983732490222115}",0,2,0.0,4.0073394775390625
84,reckon need to be in town by eightish to walk from carpark,0,"[1, 2]","{'stage1': 0.13969351018460743, 'stage2': 0.21136467574750417, 'stage2_fallback': True}",0,2,0.0,16.61205291748047
85,i am late i will be there at,0,"[1, 2]","{'stage1': 0.032821879216825056, 'stage2': 0.1377076874595192}",0,2,0.0,12.521505355834961
86,i am on the way to ur home,0,"[1, 2]","{'stage1': 0.052456678564419344, 'stage2': 0.12606764869970538}",0,2,0.0,10.502099990844727
87,water logging in desert geoenvironmental implications,0,"[1, 2]","{'stage1': 0.03792100856812835, 'stage2': 0.17483346760301863, 'stage2_fallback': True}",0,2,0.0,9.763956069946289
88,yup not comin,0,"[1, 2]","{'stage1': 0.029296732916659896, 'stage2': 0.11587847645275506}",0,2,0.0,10.3607177734375
89,u coming 2 pick me,0,[1],{'stage1': 0.019185844384356117},0,1,0.0,8.203506469726562
90,urgent your mobile number has been awarded with a 2000 bonus caller prize call 09058095201 from land line valid 12hrs only,1,[1],{'stage1': 0.8123696740099186},1,1,0.0,8.619546890258789
91,great p diddy is my neighbor and comes for toothpaste every morning,0,"[1, 2]","{'stage1': 0.06386995875861144, 'stage2': 0.2304663905676392, 'stage2_fallback': True}",0,2,0.0,10.167598724365234
92,u guys never invite me anywhere,0,[1],{'stage1': 0.024078318607337022},0,1,0.0,0.0
93,he is impossible to argue with and he always treats me like his sub like he never released me which he did and i will remind him of that if necessary,0,[1],{'stage1': 0.01538706441631078},0,1,0.0,15.717267990112305
94,then ask dad to pick up lar wan 2 stay until 6 meh,0,"[1, 2]","{'stage1': 0.03360887712116245, 'stage2': 0.15103911353633945, 'stage2_fallback': True}",0,2,0.0,9.623050689697266
95,pick ur fone up now u dumb,0,"[1, 2]","{'stage1': 0.13600417640490114, 'stage2': 0.20961201354002487, 'stage2_fallback': True}",0,2,0.0,6.00743293762207
96,in which place do you want da,0,[1],{'stage1': 0.022902750424824325},0,1,0.0,0.0
97,i ll have a look at the frying pan in case it s cheap or a book perhaps no that s silly a frying pan isn t likely to be a book,0,"[1, 2]","{'stage1': 0.05370414839604902, 'stage2': 0.1673741387836398, 'stage2_fallback': True}",0,2,0.0,15.642166137695312
98,3 pa but not selected,0,"[1, 2]","{'stage1': 0.04502104808576885, 'stage2': 0.2973576908718308, 'stage2_fallback': True}",0,2,0.0,16.556978225708008
99,short but cute be a good person,0,"[1, 2]","{'stage1': 0.030006942146197015, 'stage2': 0.20192975269611385, 'stage2_fallback': True}",0,2,0.0,6.724357604980469
100,come to mahal bus stop lt decimal gt,0,"[1, 2]","{'stage1': 0.05067617123800866, 'stage2': 0.2554651148542158, 'stage2_fallback': True}",0,2,0.0,15.507698059082031
101,lol that would be awesome payback,0,[1],{'stage1': 0.02745181274011502},0,1,0.0,8.38613510131836
102,ok enjoy r u there in home,0,[1],{'stage1': 0.023435106215167176},0,1,0.0,7.257223129272461
103,you have won a guaranteed 1000 cash or a 2000 prize to claim yr prize call our customer service representative on 08714712379 between 10am 7pm cost 10p,1,[1],{'stage1': 0.9366783662190635},1,1,0.0,8.785486221313477
104,i know that my friend already told that,0,[1],{'stage1': 0.01747290876431856},0,1,0.0,9.256124496459961
105,dai what this da can i send my resume to this id,0,"[1, 2]","{'stage1': 0.06055128469303289, 'stage2': 0.19787759703062321, 'stage2_fallback': True}",0,2,0.0,6.008625030517578
106,ya told she was asking wats matter,0,[1],{'stage1': 0.020500937198190645},0,1,0.0,11.918306350708008
107,no we sell it all so we ll have tons if coins then sell our coins to someone thru paypal voila money back in life pockets,0,"[1, 2]","{'stage1': 0.0402141293906159, 'stage2': 0.31879144351388206, 'stage2_fallback': True}",0,2,0.0,8.256196975708008
108,i m e person who s doing e sms survey,0,"[1, 2]","{'stage1': 0.15991572878637914, 'stage2': 0.48477582452889784, 'stage2_fallback': True}",0,2,0.0,10.01739501953125
109,hey sorry i didntgive ya a a bellearlier hunny,0,[1],{'stage1': 0.017091440863307272},0,1,0.0,8.738994598388672
110,wat makes u thk i ll fall down but actually i thk i m quite prone 2 falls lucky my dad at home i ask him come n fetch me already,0,[1],{'stage1': 0.006603583942255541},0,1,0.0,8.753776550292969
111,multiply the numbers independently and count decimal points then for the division push the decimal places like i showed you,0,"[1, 2]","{'stage1': 0.0711797368273245, 'stage2': 0.268087855961611, 'stage2_fallback': True}",0,2,0.0,10.347366333007812
112,twenty past five he said will this train have been to durham already or not coz i am in a reserved seat,0,"[1, 2]","{'stage1': 0.06739867372835524, 'stage2': 0.24218862498011104, 'stage2_fallback': True}",0,2,0.0,5.748987197875977
113,carlos is down but i have to pick it up from him so i ll swing by usf in a little bit,0,"[1, 2]","{'stage1': 0.03359950922352977, 'stage2': 0.17482407670672512, 'stage2_fallback': True}",0,2,0.0,14.010429382324219
114,even my brother is not like to speak with me they treat me like aids patent,0,"[1, 2]","{'stage1': 0.0329118451918953, 'stage2': 0.23942716589187935, 'stage2_fallback': True}",0,2,0.0,9.99140739440918
115,no he joined today itself,0,"[1, 2]","{'stage1': 0.03837656636663858, 'stage2': 0.16010476002186963, 'stage2_fallback': True}",0,2,0.0,10.248184204101562
116,will you come online today night,0,[1],{'stage1': 0.027233111936315016},0,1,0.0,7.489204406738281
117,havent still waitin as usual come back sch oredi,0,"[1, 2]","{'stage1': 0.032600467440513765, 'stage2': 0.1567823239039632, 'stage2_fallback': True}",0,2,0.0,5.747079849243164
118,i wonder if your phone battery went dead i had to tell you i love you babe,0,"[1, 2]","{'stage1': 0.06018178996990961, 'stage2': 0.21158055359851966, 'stage2_fallback': True}",0,2,0.0,14.531612396240234
119,can you pls send me that company name in saibaba colany,0,[1],{'stage1': 0.023028897772386855},0,1,0.0,6.595611572265625
120,yes it completely in out of form clark also utter waste,0,"[1, 2]","{'stage1': 0.03437572185606557, 'stage2': 0.18466728214999406, 'stage2_fallback': True}",0,2,0.0,11.110067367553711
121,yes its possible but dint try pls dont tell to any one k,0,"[1, 2]","{'stage1': 0.031876856629188766, 'stage2': 0.17114394341449815, 'stage2_fallback': True}",0,2,0.0,9.922027587890625
122,rock yr chik get 100 s of filthy films xxx pics on yr phone now rply filth to 69669 saristar ltd e14 9yt 08701752560 450p per 5 days stop2 cancel,1,[1],{'stage1': 0.42175985776331754},1,1,0.0,5.509376525878906
123,o guess they both got screwd,0,"[1, 2]","{'stage1': 0.04794539704412565, 'stage2': 0.18098111110359777, 'stage2_fallback': True}",0,2,0.0,12.122392654418945
124,i love working from home,0,"[1, 2]","{'stage1': 0.08042403472131945, 'stage2': 0.12462524898389175}",0,2,0.0,3.7488937377929688
125,er,0,"[1, 2]","{'stage1': 0.06329603294497951, 'stage2': 0.18094299365517366, 'stage2_fallback': True}",0,2,0.0,15.661001205444336
126,sms auction a brand new nokia 7250 is up 4 auction today auction is free 2 join take part txt nokia to 86021 now hg suite342 2lands row w1j6hl,1,[1],{'stage1': 0.7255856617228357},1,1,0.0,9.483814239501953
127,win we have a winner mr t foley won an ipod more exciting prizes soon so keep an eye on ur mobile or visit,1,[1],{'stage1': 0.5303992009973295},1,1,0.0,8.020639419555664
128,hey looks like i was wrong and one of the kappa guys numbers is still on my phone if you want i can text him and see if he s around,0,"[1, 2]","{'stage1': 0.03357335160732277, 'stage2': 0.25797196796431165, 'stage2_fallback': True}",0,2,0.0,8.347034454345703
129,got but got 2 colours lor one colour is quite light n e other is darker lor actually i m done she s styling my hair now,0,[1],{'stage1': 0.018359524325531},0,1,0.0,9.990930557250977
130,still in customer place,0,"[1, 2]","{'stage1': 0.06345036662984993, 'stage2': 0.26934009543206194, 'stage2_fallback': True}",0,2,0.0,9.492635726928711
131,nothing i meant that once the money enters your account here the bank will remove its flat rate someone transfered lt gt to my account and lt gt dollars got removed so the banks differ and charges also differ be sure you trust the 9ja person you are sending account details to cos,0,[1],{'stage1': 0.027892040521729555},0,1,0.0,1.7399787902832031
132,do you want bold 2 or bb torch,0,"[1, 2]","{'stage1': 0.06409447938609726, 'stage2': 0.24316296099581577, 'stage2_fallback': True}",0,2,0.0,15.823602676391602
133,so check your errors and if you had difficulties do correction,0,"[1, 2]","{'stage1': 0.04732446594071789, 'stage2': 0.2135191428595496, 'stage2_fallback': True}",0,2,0.0,10.457992553710938
134,aldrine rakhesh ex rtm here pls call urgent,0,"[1, 2]","{'stage1': 0.17101491192278792, 'stage2': 0.26956140882183677, 'stage2_fallback': True}",0,2,0.0,5.508184432983398
135,10 min later k,0,"[1, 2]","{'stage1': 0.14096968649849087, 'stage2': 0.14079318944623748}",0,2,0.0,12.778997421264648
136,i can t describe how lucky you are that i m actually awake by noon,0,"[1, 2]","{'stage1': 0.04099647400743647, 'stage2': 0.23796873202481478, 'stage2_fallback': True}",0,2,0.0,10.178089141845703
137,k i might come by tonight then if my class lets out early,0,[1],{'stage1': 0.0223523411570187},0,1,0.0,8.75401496887207
138,ok lor,0,[1],{'stage1': 0.01858434191847513},0,1,0.0,7.280826568603516
139,wow didn t think it was that common i take it all back ur not a freak unless u chop it off,0,[1],{'stage1': 0.02164996015052633},0,1,0.0,8.731842041015625
140,tell me something thats okay,0,[1],{'stage1': 0.01934144272707883},0,1,0.0,2.0041465759277344
141,ugh hopefully the asus ppl dont randomly do a reformat,0,"[1, 2]","{'stage1': 0.03722536308206089, 'stage2': 0.200803332610479, 'stage2_fallback': True}",0,2,0.0,15.78521728515625
142,i had askd u a question some hours before its answer,0,"[1, 2]","{'stage1': 0.046877562605728146, 'stage2': 0.12874316536723013}",0,2,0.0,0.0
143,on the road so cant txt,0,"[1, 2]","{'stage1': 0.18484558531773018, 'stage2': 0.24548251923599507, 'stage2_fallback': True}",0,2,0.0,19.403696060180664
144,i absolutely love south park i only recently started watching the office,0,"[1, 2]","{'stage1': 0.0504713705389907, 'stage2': 0.21549140571722442, 'stage2_fallback': True}",0,2,0.0,9.49406623840332
145,hey morning what you come to ask pa,0,[1],{'stage1': 0.023839757237489247},0,1,0.0,8.269786834716797
146,oh is it send me the address,0,"[1, 2]","{'stage1': 0.031870576046844075, 'stage2': 0.19504230114764406, 'stage2_fallback': True}",0,2,0.0,7.488250732421875
147,hey i will be really pretty late you want to go for the lesson first i will join you i m only reaching tp mrt,0,"[1, 2]","{'stage1': 0.0557134337158161, 'stage2': 0.19239116285449087, 'stage2_fallback': True}",0,2,0.0,11.938810348510742
148,dai lt gt naal eruku,0,[1],{'stage1': 0.007979498427044528},0,1,0.0,9.044647216796875
149,ok that would b lovely if u r sure think about wot u want to do drinkin dancin eatin cinema in out about up to u wot about,0,[1],{'stage1': 0.02562887052991532},0,1,0.0,8.604049682617188
150,how are you doing hope you ve settled in for the new school year just wishin you a gr8 day,0,"[1, 2]","{'stage1': 0.05097253260185025, 'stage2': 0.11494272417512319}",0,2,0.0,8.93855094909668
151,thank u it better work out cause i will feel used otherwise,0,"[1, 2]","{'stage1': 0.0342367629253081, 'stage2': 0.14488936369105324}",0,2,0.0,11.983871459960938
152,wow so healthy old airport rd lor cant thk of anything else but i ll b bathing my dog later,0,[1],{'stage1': 0.010929514252309066},0,1,0.0,2.5043487548828125
153,k do it at evening da urgent,0,"[1, 2]","{'stage1': 0.030433589915290705, 'stage2': 0.11190635218706027}",0,2,0.0,14.827489852905273
154,mmmmmmm snuggles into you deep contented sigh whispers i fucking love you so much i can barely stand it,0,[1],{'stage1': 0.019922480125113506},0,1,0.0,8.011341094970703
155,doesn t g have class early tomorrow and thus shouldn t be trying to smoke at lt gt,0,[1],{'stage1': 0.025430515363195252},0,1,0.0,7.676839828491211
156,love it the girls at the office may wonder why you are smiling but sore,0,"[1, 2]","{'stage1': 0.03206837533755581, 'stage2': 0.15711077969469256, 'stage2_fallback': True}",0,2,0.0,10.298728942871094
157,yes da any plm at ur office,0,"[1, 2]","{'stage1': 0.037343691406847276, 'stage2': 0.11576634729313037}",0,2,0.0,11.003971099853516
158,dunno lei shd b driving lor cos i go sch 1 hr oni,0,"[1, 2]","{'stage1': 0.03430631691164487, 'stage2': 0.1411814457966423}",0,2,0.0,8.634090423583984
159,all boys made fun of me today ok i have no problem i just sent one message just for fun,0,"[1, 2]","{'stage1': 0.057561964365171615, 'stage2': 0.36141431101256616, 'stage2_fallback': True}",0,2,0.0,9.41610336303711
160,hi jon pete here ive bin 2 spain recently hav sum dinero left bill said u or ur rents mayb interested in it i hav 12 000pes so around 48 tb james,0,"[1, 2]","{'stage1': 0.05822865968267883, 'stage2': 0.35645734281274455, 'stage2_fallback': True}",0,2,0.0,10.080814361572266
161,sorry da i gone mad so many pending works what to do,0,[1],{'stage1': 0.02106136570096275},0,1,0.0,8.492708206176758
162,customer loyalty offer the new nokia6650 mobile from only 10 at txtauction txt word start to no 81151 get yours now 4t ctxt tc 150p mtmsg,1,[1],{'stage1': 0.8629471754411207},1,1,0.0,0.0
163,congrats 2 mobile 3g videophones r yours call 09063458130 now videochat wid ur mates play java games dload polyph music noline rentl bx420 ip4 5we 150p,1,[1],{'stage1': 0.7409678018171895},1,1,0.0,15.750646591186523
164,goldviking 29 m is inviting you to be his friend reply yes 762 or no 762 see him stop send stop frnd to 62468,1,[1],{'stage1': 0.5722013680449605},1,1,0.0,0.0
165,hi if ur lookin 4 saucy daytime fun wiv busty married woman am free all next week chat now 2 sort time 09099726429 janinexx calls 1 minmobsmorelkpobox177hp51fl,1,[1],{'stage1': 0.32370098424207083},1,1,0.0,16.351699829101562
166,actually i decided i was too hungry so i haven t left yet v,0,[1],{'stage1': 0.025002355546026034},0,1,0.0,0.0
